Node,Site,NO2,CO,O3,Pressure,NO2b,Humidity,Temperature,CO2,CO2temperature,Date,Hour,Segment,Interval,nValues

"jackpine","CPS",0,0,0,0,0,0,0,446.316294790975,7.90000009536743,1/12/2013 12:00:00 AM,0,0,"2013-01-12S0000",1

"jackpine","CPS",0,0,0,0,0,0,0,445.842194639614,7.90000009536743,1/12/2013 12:06:37 AM,0,1,"2013-01-12S0001",1

"jackpine","CPS",0,0,0,0,0,0,0,439.549463097967,7.89833354949951,1/12/2013 12:10:02 AM,0,2,"2013-01-12S0002",1

"jackpine","CPS",0,0,0,0,0,0,0,438.496550169812,7.89166688919067,1/12/2013 12:15:02 AM,0,3,"2013-01-12S0003",1

"jackpine","CPS",0,0,0,0,0,0,0,440.799268330149,7.87166690826416,1/12/2013 12:20:02 AM,0,4,"2013-01-12S0004",1

"jackpine","CPS",0,0,0,0,0,0,0,441.321848107129,7.83666658401489,1/12/2013 12:25:02 AM,0,5,"2013-01-12S0005",1

"jackpine","CPS",0,0,0,0,0,0,0,435.960387700401,7.82666683197021,1/12/2013 12:30:03 AM,0,6,"2013-01-12S0006",1

"jackpine","CPS",0,0,0,0,0,0,0,426.175286463653,7.878333568573,1/12/2013 12:35:03 AM,0,7,"2013-01-12S0007",1

"jackpine","CPS",0,0,0,0,0,0,0,420.759202652227,7.94166660308838,1/12/2013 12:40:03 AM,0,8,"2013-01-12S0008",1

"jackpine","CPS",0,0,0,0,0,0,0,421.310941100121,8.07999992370605,1/12/2013 12:45:03 AM,0,9,"2013-01-12S0009",1

"jackpine","CPS",0,0,0,0,0,0,0,421.051632229812,8.24655151367188,1/12/2013 12:50:04 AM,0,10,"2013-01-12S0010",1

"jackpine","CPS",0,0,0,0,0,0,0,431.119954777705,8.34833335876465,1/12/2013 12:55:04 AM,0,11,"2013-01-12S0011",1

"jackpine","CPS",0,0,0,0,0,0,0,429.223853390567,8.39999961853027,1/12/2013 1:00:04 AM,1,0,"2013-01-12S0100",1

