Node,Site,NO2,CO,O3,Pressure,NO2b,Humidity,Temperature,CO2,CO2temperature,Date,Hour,Segment,Interval,nValues

"linden","KorematsuES",0,0,0,0,0,0,0,453.123627854322,7.09756088256836,1/1/2013 12:06:37 AM,0,1,"2013-01-01S0001",1

"linden","KorematsuES",0,0,0,0,0,0,0,456.998934653384,7.06500005722046,1/1/2013 12:10:03 AM,0,2,"2013-01-01S0002",1

"linden","KorematsuES",0,0,0,0,0,0,0,458.389690834447,7,1/1/2013 12:15:03 AM,0,3,"2013-01-01S0003",1

"linden","KorematsuES",0,0,0,0,0,0,0,456.909461204214,6.91666698455811,1/1/2013 12:20:03 AM,0,4,"2013-01-01S0004",1

"linden","KorematsuES",0,0,0,0,0,0,0,455.54398546429,6.90000009536743,1/1/2013 12:25:03 AM,0,5,"2013-01-01S0005",1

"linden","KorematsuES",0,0,0,0,0,0,0,456.46722354339,6.87166690826416,1/1/2013 12:30:04 AM,0,6,"2013-01-01S0006",1

"linden","KorematsuES",0,0,0,0,0,0,0,455.227715141431,6.80000019073486,1/1/2013 12:35:04 AM,0,7,"2013-01-01S0007",1

"linden","KorematsuES",0,0,0,0,0,0,0,453.783000838739,6.73666667938232,1/1/2013 12:40:04 AM,0,8,"2013-01-01S0008",1

"linden","KorematsuES",0,0,0,0,0,0,0,455.425114359241,6.70169496536255,1/1/2013 12:45:04 AM,0,9,"2013-01-01S0009",1

"linden","KorematsuES",0,0,0,0,0,0,0,452.571365084805,6.64499998092651,1/1/2013 12:50:00 AM,0,10,"2013-01-01S0010",1

"linden","KorematsuES",0,0,0,0,0,0,0,455.184169052074,6.59833335876465,1/1/2013 12:55:00 AM,0,11,"2013-01-01S0011",1

"linden","KorematsuES",0,0,0,0,0,0,0,466.842312899094,6.51754379272461,1/1/2013 1:00:00 AM,1,0,"2013-01-01S0100",1

"linden","KorematsuES",0,0,0,0,0,0,0,466.093861862071,6.49166679382324,1/1/2013 1:05:00 AM,1,1,"2013-01-01S0101",1

"linden","KorematsuES",0,0,0,0,0,0,0,464.131055056758,6.35500001907349,1/1/2013 1:10:03 AM,1,2,"2013-01-01S0102",1

"linden","KorematsuES",0,0,0,0,0,0,0,466.242110525382,6.29833364486694,1/1/2013 1:15:03 AM,1,3,"2013-01-01S0103",1

"linden","KorematsuES",0,0,0,0,0,0,0,482.366593580584,6.21999979019165,1/1/2013 1:20:04 AM,1,4,"2013-01-01S0104",1

"linden","KorematsuES",0,0,0,0,0,0,0,499.369581167091,6.1933331489563,1/1/2013 1:25:04 AM,1,5,"2013-01-01S0105",1

"linden","KorematsuES",0,0,0,0,0,0,0,510.514636960143,6.14333343505859,1/1/2013 1:30:04 AM,1,6,"2013-01-01S0106",1

"linden","KorematsuES",0,0,0,0,0,0,0,510.129662340056,6.11525392532349,1/1/2013 1:35:04 AM,1,7,"2013-01-01S0107",1

"linden","KorematsuES",0,0,0,0,0,0,0,503.754753714937,6.12833309173584,1/1/2013 1:40:00 AM,1,8,"2013-01-01S0108",1

"linden","KorematsuES",0,0,0,0,0,0,0,504.953045581206,6.20166635513306,1/1/2013 1:45:00 AM,1,9,"2013-01-01S0109",1

"linden","KorematsuES",0,0,0,0,0,0,0,505.4753072405,6.26666688919067,1/1/2013 1:50:00 AM,1,10,"2013-01-01S0110",1

"linden","KorematsuES",0,0,0,0,0,0,0,476.099184859242,6.35500001907349,1/1/2013 1:55:00 AM,1,11,"2013-01-01S0111",1

"linden","KorematsuES",0,0,0,0,0,0,0,466.487483657562,6.49298238754272,1/1/2013 2:00:01 AM,2,0,"2013-01-01S0200",1

"linden","KorematsuES",0,0,0,0,0,0,0,458.411673620707,6.50666666030884,1/1/2013 2:05:00 AM,2,1,"2013-01-01S0201",1

"linden","KorematsuES",0,0,0,0,0,0,0,457.471828519683,6.59499979019165,1/1/2013 2:10:04 AM,2,2,"2013-01-01S0202",1

"linden","KorematsuES",0,0,0,0,0,0,0,462.515253082449,6.61333322525024,1/1/2013 2:15:04 AM,2,3,"2013-01-01S0203",1

"linden","KorematsuES",0,0,0,0,0,0,0,461.860960283633,6.65932178497314,1/1/2013 2:20:04 AM,2,4,"2013-01-01S0204",1

"linden","KorematsuES",0,0,0,0,0,0,0,463.274301547008,6.70166635513306,1/1/2013 2:25:00 AM,2,5,"2013-01-01S0205",1

"linden","KorematsuES",0,0,0,0,0,0,0,467.752508159683,6.69999980926514,1/1/2013 2:30:00 AM,2,6,"2013-01-01S0206",1

"linden","KorematsuES",0,0,0,0,0,0,0,463.351051627997,6.70166635513306,1/1/2013 2:35:00 AM,2,7,"2013-01-01S0207",1

"linden","KorematsuES",0,0,0,0,0,0,0,464.375447234379,6.70166635513306,1/1/2013 2:40:00 AM,2,8,"2013-01-01S0208",1

"linden","KorematsuES",0,0,0,0,0,0,0,462.201320500717,6.73333311080933,1/1/2013 2:45:01 AM,2,9,"2013-01-01S0209",1

"linden","KorematsuES",0,0,0,0,0,0,0,458.515118725816,6.85500001907349,1/1/2013 2:50:01 AM,2,10,"2013-01-01S0210",1

"linden","KorematsuES",0,0,0,0,0,0,0,456.051856817219,6.91166687011719,1/1/2013 2:55:01 AM,2,11,"2013-01-01S0211",1

"linden","KorematsuES",0,0,0,0,0,0,0,456.458240003776,6.99473667144775,1/1/2013 3:00:01 AM,3,0,"2013-01-01S0300",1

"linden","KorematsuES",0,0,0,0,0,0,0,457.761738119039,7.10508441925049,1/1/2013 3:05:02 AM,3,1,"2013-01-01S0301",1

"linden","KorematsuES",0,0,0,0,0,0,0,458.745368168913,7.21999979019165,1/1/2013 3:10:00 AM,3,2,"2013-01-01S0302",1

"linden","KorematsuES",0,0,0,0,0,0,0,460.563581018278,7.29833364486694,1/1/2013 3:15:00 AM,3,3,"2013-01-01S0303",1

"linden","KorematsuES",0,0,0,0,0,0,0,461.745584485352,7.32333374023438,1/1/2013 3:20:00 AM,3,4,"2013-01-01S0304",1

"linden","KorematsuES",0,0,0,0,0,0,0,460.661895816849,7.39833354949951,1/1/2013 3:25:01 AM,3,5,"2013-01-01S0305",1

"linden","KorematsuES",0,0,0,0,0,0,0,461.057618901748,7.47000026702881,1/1/2013 3:30:01 AM,3,6,"2013-01-01S0306",1

"linden","KorematsuES",0,0,0,0,0,0,0,461.950920946812,7.61833333969116,1/1/2013 3:35:01 AM,3,7,"2013-01-01S0307",1

"linden","KorematsuES",0,0,0,0,0,0,0,469.789534835374,7.72166633605957,1/1/2013 3:40:02 AM,3,8,"2013-01-01S0308",1

"linden","KorematsuES",0,0,0,0,0,0,0,465.023926244976,7.89499998092651,1/1/2013 3:45:02 AM,3,9,"2013-01-01S0309",1

"linden","KorematsuES",0,0,0,0,0,0,0,466.06257167697,8.02500057220459,1/1/2013 3:50:02 AM,3,10,"2013-01-01S0310",1

"linden","KorematsuES",0,0,0,0,0,0,0,463.434955409128,8.18000030517578,1/1/2013 3:55:02 AM,3,11,"2013-01-01S0311",1

