Node,Site,NO2,CO,O3,Pressure,NO2b,Humidity,Temperature,CO2,CO2temperature,Date,Hour,Segment,Interval,nValues

"ginko","LaurelES",0,0,0,0,0,0,0,445.129072945063,8.5,1/1/2013 12:00:00 AM,0,0,"2013-01-01S0000",1

"ginko","LaurelES",0,0,0,0,0,0,0,435.186043147478,8.39249992370605,1/1/2013 12:06:40 AM,0,1,"2013-01-01S0001",1

"ginko","LaurelES",0,0,0,0,0,0,0,440.945628661182,8.34500026702881,1/1/2013 12:10:00 AM,0,2,"2013-01-01S0002",1

"ginko","LaurelES",0,0,0,0,0,0,0,439.42864009523,8.243332862854,1/1/2013 12:15:01 AM,0,3,"2013-01-01S0003",1

"ginko","LaurelES",0,0,0,0,0,0,0,440.156771032205,8.19833278656006,1/1/2013 12:20:01 AM,0,4,"2013-01-01S0004",1

"ginko","LaurelES",0,0,0,0,0,0,0,437.303982285848,8.12333393096924,1/1/2013 12:25:01 AM,0,5,"2013-01-01S0005",1

"ginko","LaurelES",0,0,0,0,0,0,0,434.253975680836,8.09833335876465,1/1/2013 12:30:01 AM,0,6,"2013-01-01S0006",1

"ginko","LaurelES",0,0,0,0,0,0,0,431.213666798578,8.05833339691162,1/1/2013 12:35:02 AM,0,7,"2013-01-01S0007",1

"ginko","LaurelES",0,0,0,0,0,0,0,431.711126000251,8.00833320617676,1/1/2013 12:40:02 AM,0,8,"2013-01-01S0008",1

"ginko","LaurelES",0,0,0,0,0,0,0,430.71336253472,8,1/1/2013 12:45:02 AM,0,9,"2013-01-01S0009",1

"ginko","LaurelES",0,0,0,0,0,0,0,428.022219558788,7.98833322525024,1/1/2013 12:50:03 AM,0,10,"2013-01-01S0010",1

"ginko","LaurelES",0,0,0,0,0,0,0,426.993141947547,7.97333335876465,1/1/2013 12:55:03 AM,0,11,"2013-01-01S0011",1

"ginko","LaurelES",0,0,0,0,0,0,0,420.948849222361,7.99298238754272,1/1/2013 1:00:03 AM,1,0,"2013-01-01S0100",1

"ginko","LaurelES",0,0,0,0,0,0,0,427.502835889522,8,1/1/2013 1:05:03 AM,1,1,"2013-01-01S0101",1

"ginko","LaurelES",0,0,0,0,0,0,0,425.502803357085,8,1/1/2013 1:10:01 AM,1,2,"2013-01-01S0102",1

"ginko","LaurelES",0,0,0,0,0,0,0,425.756229356113,8,1/1/2013 1:15:01 AM,1,3,"2013-01-01S0103",1

"ginko","LaurelES",0,0,0,0,0,0,0,430.477394191192,7.99833345413208,1/1/2013 1:20:01 AM,1,4,"2013-01-01S0104",1

"ginko","LaurelES",0,0,0,0,0,0,0,422.392324737593,7.99333333969116,1/1/2013 1:25:01 AM,1,5,"2013-01-01S0105",1

"ginko","LaurelES",0,0,0,0,0,0,0,428.597477288458,7.99833345413208,1/1/2013 1:30:02 AM,1,6,"2013-01-01S0106",1

"ginko","LaurelES",0,0,0,0,0,0,0,425.88220287022,8,1/1/2013 1:35:02 AM,1,7,"2013-01-01S0107",1

"ginko","LaurelES",0,0,0,0,0,0,0,420.487062335014,8.03833389282227,1/1/2013 1:40:02 AM,1,8,"2013-01-01S0108",1

"ginko","LaurelES",0,0,0,0,0,0,0,425.053823405429,8.13500022888184,1/1/2013 1:45:02 AM,1,9,"2013-01-01S0109",1

"ginko","LaurelES",0,0,0,0,0,0,0,433.845776884762,8.22166633605957,1/1/2013 1:50:03 AM,1,10,"2013-01-01S0110",1

"ginko","LaurelES",0,0,0,0,0,0,0,434.112624335967,8.31166648864746,1/1/2013 1:55:03 AM,1,11,"2013-01-01S0111",1

"ginko","LaurelES",0,0,0,0,0,0,0,433.295796287439,8.28596496582031,1/1/2013 2:00:03 AM,2,0,"2013-01-01S0200",1

"ginko","LaurelES",0,0,0,0,0,0,0,430.701800777962,8.20847415924072,1/1/2013 2:05:03 AM,2,1,"2013-01-01S0201",1

"ginko","LaurelES",0,0,0,0,0,0,0,435.254730197184,8.18666648864746,1/1/2013 2:10:01 AM,2,2,"2013-01-01S0202",1

"ginko","LaurelES",0,0,0,0,0,0,0,432.612603997219,8.09833335876465,1/1/2013 2:15:02 AM,2,3,"2013-01-01S0203",1

"ginko","LaurelES",0,0,0,0,0,0,0,434.102612653085,8.02166652679443,1/1/2013 2:20:02 AM,2,4,"2013-01-01S0204",1

"ginko","LaurelES",0,0,0,0,0,0,0,430.227158129215,8,1/1/2013 2:25:02 AM,2,5,"2013-01-01S0205",1

"ginko","LaurelES",0,0,0,0,0,0,0,426.380210042815,8,1/1/2013 2:30:02 AM,2,6,"2013-01-01S0206",1

"ginko","LaurelES",0,0,0,0,0,0,0,430.097298691791,8,1/1/2013 2:35:03 AM,2,7,"2013-01-01S0207",1

"ginko","LaurelES",0,0,0,0,0,0,0,437.279615959815,7.99666690826416,1/1/2013 2:40:03 AM,2,8,"2013-01-01S0208",1

"ginko","LaurelES",0,0,0,0,0,0,0,434.7994689017,7.99666690826416,1/1/2013 2:45:03 AM,2,9,"2013-01-01S0209",1

"ginko","LaurelES",0,0,0,0,0,0,0,425.94150669995,8.02833366394043,1/1/2013 2:50:03 AM,2,10,"2013-01-01S0210",1

"ginko","LaurelES",0,0,0,0,0,0,0,422.461889226988,8.16833305358887,1/1/2013 2:55:04 AM,2,11,"2013-01-01S0211",1

"ginko","LaurelES",0,0,0,0,0,0,0,425.850865998882,8.37192916870117,1/1/2013 3:00:04 AM,3,0,"2013-01-01S0300",1

"ginko","LaurelES",0,0,0,0,0,0,0,433.447596149526,8.53050899505615,1/1/2013 3:05:04 AM,3,1,"2013-01-01S0301",1

"ginko","LaurelES",0,0,0,0,0,0,0,435.198290185504,8.70499992370605,1/1/2013 3:10:02 AM,3,2,"2013-01-01S0302",1

