Node,Site,NO2,CO,O3,Pressure,NO2b,Humidity,Temperature,CO2,CO2temperature,Date,Hour,Segment,Interval,nValues

"maple","OaklandHS",0,0,0,0,0,0,0,499.324508448928,9.8926830291748,1/1/2013 12:06:38 AM,0,1,"2013-01-01S0001",1

"maple","OaklandHS",0,0,0,0,0,0,0,499.312778856256,9.89499950408936,1/1/2013 12:10:03 AM,0,2,"2013-01-01S0002",1

"maple","OaklandHS",0,0,0,0,0,0,0,496.966136645176,9.89166641235352,1/1/2013 12:15:03 AM,0,3,"2013-01-01S0003",1

"maple","OaklandHS",0,0,0,0,0,0,0,494.443016413052,9.84666633605957,1/1/2013 12:20:04 AM,0,4,"2013-01-01S0004",1

"maple","OaklandHS",0,0,0,0,0,0,0,490.611260438458,9.8100004196167,1/1/2013 12:25:04 AM,0,5,"2013-01-01S0005",1

"maple","OaklandHS",0,0,0,0,0,0,0,485.509160278252,9.80000019073486,1/1/2013 12:30:04 AM,0,6,"2013-01-01S0006",1

"maple","OaklandHS",0,0,0,0,0,0,0,492.36037809922,9.80000019073486,1/1/2013 12:35:04 AM,0,7,"2013-01-01S0007",1

"maple","OaklandHS",0,0,0,0,0,0,0,494.673486251495,9.80000019073486,1/1/2013 12:40:00 AM,0,8,"2013-01-01S0008",1

"maple","OaklandHS",0,0,0,0,0,0,0,500.003832222019,9.79166698455811,1/1/2013 12:45:00 AM,0,9,"2013-01-01S0009",1

"maple","OaklandHS",0,0,0,0,0,0,0,502.010511342432,9.70166683197021,1/1/2013 12:50:00 AM,0,10,"2013-01-01S0010",1

"maple","OaklandHS",0,0,0,0,0,0,0,491.529872321735,9.56999969482422,1/1/2013 12:55:00 AM,0,11,"2013-01-01S0011",1

"maple","OaklandHS",0,0,0,0,0,0,0,492.758488586755,9.45614051818848,1/1/2013 1:00:01 AM,1,0,"2013-01-01S0100",1

"maple","OaklandHS",0,0,0,0,0,0,0,502.56129434461,9.36499977111816,1/1/2013 1:05:00 AM,1,1,"2013-01-01S0101",1

"maple","OaklandHS",0,0,0,0,0,0,0,511.319467091944,9.23333358764648,1/1/2013 1:10:03 AM,1,2,"2013-01-01S0102",1

"maple","OaklandHS",0,0,0,0,0,0,0,498.392679380677,9.17500019073486,1/1/2013 1:15:03 AM,1,3,"2013-01-01S0103",1

"maple","OaklandHS",0,0,0,0,0,0,0,492.884173113285,9.10000038146973,1/1/2013 1:20:03 AM,1,4,"2013-01-01S0104",1

