site_Name,Site,NO2,CO,O3,Pressure,NO2b,Humidity,Temperature,CO2,CO2temperature,Date,Hour,Segment,Interval,nValues
"ironwood","Kaiser",0,0,0,0,0,0,0,406.640095412731,11,1/1/2013 12:00:00 AM,0,0,"2013-01-01S0000",3
"ironwood","Kaiser",0,0,0,0,0,0,0,405.284967364103,10.8975610733032,1/1/2013 12:06:38 AM,0,1,"2013-01-01S0001",3
"ironwood","Kaiser",0,0,0,0,0,0,0,405.588181815387,10.8999996185303,1/1/2013 12:10:03 AM,0,2,"2013-01-01S0002",3
"ironwood","Kaiser",0,0,0,0,0,0,0,405.607505172615,10.8566665649414,1/1/2013 12:15:03 AM,0,3,"2013-01-01S0003",3
"ironwood","Kaiser",0,0,0,0,0,0,0,406.772483613377,10.8083333969116,1/1/2013 12:20:03 AM,0,4,"2013-01-01S0004",3
"ironwood","Kaiser",0,0,0,0,0,0,0,405.846409727938,10.7950000762939,1/1/2013 12:25:04 AM,0,5,"2013-01-01S0005",3
"ironwood","Kaiser",0,0,0,0,0,0,0,406.038071220246,10.7683334350586,1/1/2013 12:30:04 AM,0,6,"2013-01-01S0006",3
"ironwood","Kaiser",0,0,0,0,0,0,0,408.544710989709,10.6810340881348,1/1/2013 12:35:04 AM,0,7,"2013-01-01S0007",3
"ironwood","Kaiser",0,0,0,0,0,0,0,407.152512964447,10.6254243850708,1/1/2013 12:40:04 AM,0,8,"2013-01-01S0008",3
"ironwood","Kaiser",0,0,0,0,0,0,0,407.681649269323,10.6050004959106,1/1/2013 12:45:00 AM,0,9,"2013-01-01S0009",3
"ironwood","Kaiser",0,0,0,0,0,0,0,407.776602049848,10.5816669464111,1/1/2013 12:50:00 AM,0,10,"2013-01-01S0010",3
"ironwood","Kaiser",0,0,0,0,0,0,0,408.428452004042,10.5016670227051,1/1/2013 12:55:00 AM,0,11,"2013-01-01S0011",3
"ironwood","Kaiser",0,0,0,0,0,0,0,411.340230617752,10.449122428894,1/1/2013 1:00:00 AM,1,0,"2013-01-01S0100",3
"ironwood","Kaiser",0,0,0,0,0,0,0,414.181240246631,10.3999996185303,1/1/2013 1:05:00 AM,1,1,"2013-01-01S0101",3
"ironwood","Kaiser",0,0,0,0,0,0,0,413.204994256608,10.3999996185303,1/1/2013 1:10:03 AM,1,2,"2013-01-01S0102",3
"ironwood","Kaiser",0,0,0,0,0,0,0,411.094859899953,10.3916664123535,1/1/2013 1:15:04 AM,1,3,"2013-01-01S0103",3
"ironwood","Kaiser",0,0,0,0,0,0,0,411.956930755638,10.3949995040894,1/1/2013 1:20:04 AM,1,4,"2013-01-01S0104",3
"ironwood","Kaiser",0,0,0,0,0,0,0,412.572922833264,10.3999996185303,1/1/2013 1:25:04 AM,1,5,"2013-01-01S0105",3
"ironwood","Kaiser",0,0,0,0,0,0,0,407.627552196383,10.4830503463745,1/1/2013 1:30:04 AM,1,6,"2013-01-01S0106",3
"ironwood","Kaiser",0,0,0,0,0,0,0,410.29552914633,10.6149997711182,1/1/2013 1:35:00 AM,1,7,"2013-01-01S0107",3
"ironwood","Kaiser",0,0,0,0,0,0,0,413.547434892002,10.8033332824707,1/1/2013 1:40:00 AM,1,8,"2013-01-01S0108",3
"ironwood","Kaiser",0,0,0,0,0,0,0,416.278276052311,10.9416666030884,1/1/2013 1:45:00 AM,1,9,"2013-01-01S0109",3
"ironwood","Kaiser",0,0,0,0,0,0,0,420.06379877192,11.0616664886475,1/1/2013 1:50:00 AM,1,10,"2013-01-01S0110",3
"ironwood","Kaiser",0,0,0,0,0,0,0,419.093945311815,10.9583330154419,1/1/2013 1:55:01 AM,1,11,"2013-01-01S0111",3
"ironwood","Kaiser",0,0,0,0,0,0,0,417.615629380351,10.8526315689087,1/1/2013 2:00:01 AM,2,0,"2013-01-01S0200",3
"ironwood","Kaiser",0,0,0,0,0,0,0,416.672851042422,10.6999998092651,1/1/2013 2:05:01 AM,2,1,"2013-01-01S0201",3
"ironwood","Kaiser",0,0,0,0,0,0,0,414.377028571884,10.5550003051758,1/1/2013 2:10:04 AM,2,2,"2013-01-01S0202",3
"ironwood","Kaiser",0,0,0,0,0,0,0,414.139200974751,10.453332901001,1/1/2013 2:15:04 AM,2,3,"2013-01-01S0203",3
"ironwood","Kaiser",0,0,0,0,0,0,0,416.430257743225,10.3999996185303,1/1/2013 2:20:04 AM,2,4,"2013-01-01S0204",3
"ironwood","Kaiser",0,0,0,0,0,0,0,419.091477807611,10.3316669464111,1/1/2013 2:25:00 AM,2,5,"2013-01-01S0205",3
"ironwood","Kaiser",0,0,0,0,0,0,0,419.742705202492,10.2700004577637,1/1/2013 2:30:00 AM,2,6,"2013-01-01S0206",3
"ironwood","Kaiser",0,0,0,0,0,0,0,419.787717376741,10.3133335113525,1/1/2013 2:35:00 AM,2,7,"2013-01-01S0207",3
"ironwood","Kaiser",0,0,0,0,0,0,0,422.458214016786,10.3949995040894,1/1/2013 2:40:01 AM,2,8,"2013-01-01S0208",3
"ironwood","Kaiser",0,0,0,0,0,0,0,419.995366741903,10.4783334732056,1/1/2013 2:45:01 AM,2,9,"2013-01-01S0209",3
"ironwood","Kaiser",0,0,0,0,0,0,0,418.03755008959,10.5583333969116,1/1/2013 2:50:01 AM,2,10,"2013-01-01S0210",3
